Close,Date,High,Low,Open,Volume
1.10488,2015-07-29T11:00:00.000000000Z,1.10598,1.10266,1.1052,3392
1.10304,2015-07-29T13:00:00.000000000Z,1.10577,1.10264,1.10491,3941
1.10349,2015-07-29T15:00:00.000000000Z,1.10374,1.10109,1.10306,3127
1.10095,2015-07-29T17:00:00.000000000Z,1.10799,1.09998,1.10351,9227
1.09843,2015-07-29T19:00:00.000000000Z,1.10118,1.09672,1.10098,3271
1.09892,2015-07-29T21:00:00.000000000Z,1.09892,1.09768,1.09853,1131
1.09677,2015-07-29T23:00:00.000000000Z,1.09894,1.09593,1.0989,1202
1.09753,2015-07-30T01:00:00.000000000Z,1.09769,1.09618,1.0968,1421
1.09753,2015-07-30T03:00:00.000000000Z,1.09794,1.09685,1.09757,579
1.09655,2015-07-30T05:00:00.000000000Z,1.09785,1.0942,1.0975,2511
1.09687,2015-07-30T07:00:00.000000000Z,1.0977,1.09462,1.09654,3890
1.09622,2015-07-30T09:00:00.000000000Z,1.09848,1.09573,1.09684,3086
1.09526,2015-07-30T11:00:00.000000000Z,1.0968,1.0924,1.09618,6484
1.09235,2015-07-30T13:00:00.000000000Z,1.09564,1.09099,1.09524,6001
1.09129,2015-07-30T15:00:00.000000000Z,1.09324,1.08934,1.09233,3376
1.09186,2015-07-30T17:00:00.000000000Z,1.09208,1.09009,1.09125,2075
1.09322,2015-07-30T19:00:00.000000000Z,1.09355,1.09171,1.09183,897
1.09314,2015-07-30T21:00:00.000000000Z,1.0936,1.09282,1.09328,833
1.09375,2015-07-30T23:00:00.000000000Z,1.09476,1.09318,1.09318,1186
1.09425,2015-07-31T01:00:00.000000000Z,1.09435,1.09344,1.09378,1177
1.09456,2015-07-31T03:00:00.000000000Z,1.09486,1.09388,1.09422,798
1.09536,2015-07-31T05:00:00.000000000Z,1.09676,1.09294,1.09458,2954
1.09368,2015-07-31T07:00:00.000000000Z,1.09569,1.09213,1.09532,4301
1.09794,2015-07-31T09:00:00.000000000Z,1.09887,1.09368,1.09374,4356
1.10554,2015-07-31T11:00:00.000000000Z,1.10838,1.09587,1.0979,8472
1.10472,2015-07-31T13:00:00.000000000Z,1.11139,1.10465,1.10558,11168
1.10027,2015-07-31T15:00:00.000000000Z,1.10525,1.09991,1.10476,5427
1.09648,2015-07-31T17:00:00.000000000Z,1.10126,1.09648,1.1003,2929
1.09849,2015-07-31T19:00:00.000000000Z,1.09905,1.09647,1.09649,2368
1.09757,2015-08-02T21:00:00.000000000Z,1.09834,1.09715,1.09727,1119
1.09778,2015-08-02T23:00:00.000000000Z,1.09797,1.09655,1.09756,1078
1.09737,2015-08-03T01:00:00.000000000Z,1.09847,1.09707,1.09774,1225
1.09801,2015-08-03T03:00:00.000000000Z,1.09889,1.0973,1.0974,961
1.09939,2015-08-03T05:00:00.000000000Z,1.09963,1.09666,1.09804,2207
1.09706,2015-08-03T07:00:00.000000000Z,1.09959,1.09574,1.09937,4000
1.09638,2015-08-03T09:00:00.000000000Z,1.09807,1.09527,1.09703,3229
1.09601,2015-08-03T11:00:00.000000000Z,1.09641,1.09411,1.09635,3735
1.09733,2015-08-03T13:00:00.000000000Z,1.09885,1.09518,1.09604,5007
1.09603,2015-08-03T15:00:00.000000000Z,1.09736,1.09457,1.0973,2743
1.09482,2015-08-03T17:00:00.000000000Z,1.09627,1.09436,1.09601,2518
1.09757,2015-08-02T21:00:00.000000000Z,1.09834,1.09715,1.09727,1119
1.09778,2015-08-02T23:00:00.000000000Z,1.09797,1.09655,1.09756,1078
1.09737,2015-08-03T01:00:00.000000000Z,1.09847,1.09707,1.09774,1225
1.09801,2015-08-03T03:00:00.000000000Z,1.09889,1.0973,1.0974,961
1.09939,2015-08-03T05:00:00.000000000Z,1.09963,1.09666,1.09804,2207
1.09706,2015-08-03T07:00:00.000000000Z,1.09959,1.09574,1.09937,4000
1.09638,2015-08-03T09:00:00.000000000Z,1.09807,1.09527,1.09703,3229
1.09601,2015-08-03T11:00:00.000000000Z,1.09641,1.09411,1.09635,3735
1.09733,2015-08-03T13:00:00.000000000Z,1.09885,1.09518,1.09604,5007
1.09603,2015-08-03T15:00:00.000000000Z,1.09736,1.09457,1.0973,2743
1.09482,2015-08-03T17:00:00.000000000Z,1.09627,1.09436,1.09601,2518
1.09502,2015-08-03T19:00:00.000000000Z,1.09588,1.09456,1.09478,1175
1.09535,2015-08-03T21:00:00.000000000Z,1.0957,1.0951,1.09521,662
1.09327,2015-08-03T23:00:00.000000000Z,1.09567,1.09323,1.09535,1159
1.09476,2015-08-04T01:00:00.000000000Z,1.09501,1.09329,1.09329,1098
1.09428,2015-08-04T03:00:00.000000000Z,1.09478,1.09371,1.09473,817
1.09567,2015-08-04T05:00:00.000000000Z,1.09665,1.09414,1.09432,2990
1.09707,2015-08-04T07:00:00.000000000Z,1.09786,1.09512,1.0957,3535
1.09769,2015-08-04T09:00:00.000000000Z,1.09817,1.09588,1.09703,2219
1.09697,2015-08-04T11:00:00.000000000Z,1.09876,1.09645,1.09766,2469
1.09601,2015-08-03T11:00:00.000000000Z,1.09641,1.09411,1.09635,3735
1.09733,2015-08-03T13:00:00.000000000Z,1.09885,1.09518,1.09604,5007
1.09603,2015-08-03T15:00:00.000000000Z,1.09736,1.09457,1.0973,2743
1.09482,2015-08-03T17:00:00.000000000Z,1.09627,1.09436,1.09601,2518
1.09502,2015-08-03T19:00:00.000000000Z,1.09588,1.09456,1.09478,1175
1.09535,2015-08-03T21:00:00.000000000Z,1.0957,1.0951,1.09521,662
1.09327,2015-08-03T23:00:00.000000000Z,1.09567,1.09323,1.09535,1159
1.09476,2015-08-04T01:00:00.000000000Z,1.09501,1.09329,1.09329,1098
1.09428,2015-08-04T03:00:00.000000000Z,1.09478,1.09371,1.09473,817
1.09567,2015-08-04T05:00:00.000000000Z,1.09665,1.09414,1.09432,2990
1.09707,2015-08-04T07:00:00.000000000Z,1.09786,1.09512,1.0957,3535
1.09769,2015-08-04T09:00:00.000000000Z,1.09817,1.09588,1.09703,2219
1.09697,2015-08-04T11:00:00.000000000Z,1.09876,1.09645,1.09766,2469
1.0961,2015-08-04T13:00:00.000000000Z,1.09816,1.09462,1.09694,4167
1.09623,2015-08-04T15:00:00.000000000Z,1.09709,1.0949,1.09612,2767
1.08902,2015-08-04T17:00:00.000000000Z,1.09634,1.08884,1.0962,5193
1.08816,2015-08-04T19:00:00.000000000Z,1.08944,1.08791,1.08903,1946
1.08897,2015-08-04T21:00:00.000000000Z,1.08932,1.0881,1.08825,977
1.08747,2015-08-04T23:00:00.000000000Z,1.0894,1.08716,1.08901,1236
1.08609,2015-08-05T01:00:00.000000000Z,1.0875,1.08483,1.08744,1743
1.08678,2015-08-05T03:00:00.000000000Z,1.0869,1.08573,1.08607,605
1.08729,2015-08-05T05:00:00.000000000Z,1.08774,1.0852,1.08676,2549
1.08579,2015-08-05T07:00:00.000000000Z,1.08761,1.08519,1.08727,4059
1.08672,2015-08-05T09:00:00.000000000Z,1.08683,1.08482,1.08574,2681
1.08983,2015-08-05T11:00:00.000000000Z,1.09342,1.0862,1.0867,6237
1.08665,2015-08-05T13:00:00.000000000Z,1.09138,1.08501,1.08985,7858
1.08728,2015-08-05T15:00:00.000000000Z,1.08798,1.08644,1.08668,2761
1.08971,2015-08-05T17:00:00.000000000Z,1.09108,1.08713,1.08732,2893
1.09058,2015-08-05T19:00:00.000000000Z,1.09073,1.08972,1.08974,952
1.09023,2015-08-05T21:00:00.000000000Z,1.0906,1.08982,1.09052,481
1.09127,2015-08-05T23:00:00.000000000Z,1.09343,1.09011,1.09025,1366
